tichet,single,card,male,age,fc,gomi,goshuin
0,0,1,1,0,1.04109589,0,0
0,1,1,1,0,3.287671233,0,0
0,0,1,1,1,0.328767123,0,0
0,0,0,0,0,0.246575342,0,0
0,0,0,1,1,1.660273973,0,0
0,0,1,1,1,3.287671233,0,0
0,1,0,1,0,0.967123288,0,0
0,0,1,1,1,0.356164384,0,0
0,1,1,1,1,1.589041096,0,0
0,0,1,1,1,2.375342466,0,0
0,0,1,1,1,0.98630137,0,0
0,0,1,1,0,3.287671233,0,0
0,0,1,1,1,0,0,0
0,0,1,1,1,0.002739726,0,0
0,1,1,1,0,1.369863014,0,0
0,0,1,1,0,3.95890411,0,0
0,1,1,0,1,1.24109589,0,0
0,1,1,1,0,2.95890411,0,0
0,1,1,1,0,0.038356164,0,0
0,0,0,1,1,0.164383562,0,1
0,1,0,1,1,1.095890411,0,0
0,0,1,1,1,0.410958904,0,0
0,0,0,0,1,0.632876712,0,0
0,0,1,0,1,1,0,0
0,1,1,1,1,0.005479452,1,1
0,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0
0,0,0,1,1,0.684931507,0,0
0,1,1,1,1,2.054794521,0,1
0,1,1,1,0,3.810958904,0,0
0,0,1,1,1,1.490410959,0,0
0,1,1,1,0,4.109589041,0,0
0,1,1,1,1,1.232876712,0,0
0,0,1,1,0,3.569863014,0,0
0,1,0,1,0,2.465753425,0,0
0,1,1,1,0,3.961643836,0,0
0,1,1,1,0,2.739726027,0,0
0,0,0,0,1,0,0,0
0,1,1,0,1,0.821917808,1,0
0,0,1,0,1,2.523287671,0,1
0,1,0,1,1,0.002739726,0,0
0,0,1,1,1,1.665753425,1,1
0,1,0,1,1,2.578082192,0,1
0,1,1,1,0,3.120547945,0,1
0,0,1,1,0,2.328767123,0,0
0,1,1,1,1,1.917808219,0,0
0,1,1,1,1,2.520547945,0,0
0,0,1,1,1,1.095890411,0,0
0,1,0,1,1,0.383561644,0,0
0,1,1,1,1,0.547945205,0,0
0,0,1,1,0,1.095890411,0,0
0,1,1,1,0,2.098630137,0,0
0,0,1,1,0,3.561643836,0,1
0,0,1,1,1,0,1,1
0,1,0,1,1,2.22739726,0,0
0,0,0,1,1,0.654794521,0,0
0,0,0,1,1,0.136986301,0,0
0,1,1,1,0,3.561643836,0,0
0,0,0,1,1,1.487671233,0,0
0,1,1,0,1,1.090410959,0,1
0,0,1,1,1,3.016438356,0,0
0,0,1,1,0,2.912328767,0,0
0,1,1,1,0,3.843835616,0,1
0,1,1,1,1,2.739726027,1,1
0,1,0,1,0,3.287671233,0,0
0,0,1,1,0,3.561643836,0,0
0,1,1,1,1,0.95890411,0,0
0,0,0,1,1,0.002739726,0,0
0,1,1,1,0,3.117808219,0,0
0,0,0,1,0,3.369863014,0,0
0,0,1,1,0,3.961643836,0,0
0,0,1,1,0,1.142465753,0,0
0,1,1,1,0,3.97260274,0,0
0,0,1,1,0,2.191780822,1,0
0,1,0,0,0,3.079452055,1,0
0,0,1,1,0,3.01369863,0,0
0,1,1,1,1,2.356164384,0,0
0,1,1,1,0,0.821917808,0,0
0,0,0,1,1,0.547945205,0,0
0,1,0,1,1,0.684931507,0,0
0,1,0,1,0,0.010958904,0,0
0,0,1,1,1,1.01369863,0,0
0,0,1,0,0,0.547945205,0,0
0,0,0,1,1,1.095890411,0,0
0,1,1,1,0,2.389041096,0,0
0,0,0,1,1,2.739726027,0,0
0,1,1,1,0,0.931506849,0,0
0,1,1,1,0,3.961643836,0,1
0,1,1,1,0,1.315068493,0,0
0,1,0,1,0,3.534246575,0,0
0,0,1,1,0,0.002739726,0,0
0,1,1,1,1,1.493150685,0,0
0,1,1,1,0,3.961643836,0,0
0,1,0,1,1,0,0,0
0,1,1,1,0,2.465753425,0,0
0,0,1,0,1,0.876712329,0,0
0,0,0,1,0,1.369863014,0,0
0,0,1,1,0,0.821917808,0,0
0,0,0,1,1,2.465753425,0,1
0,0,0,0,1,0,0,0
0,0,0,0,1,0.328767123,0,0
0,1,0,1,0,0.95890411,0,0
0,0,1,1,1,1.756164384,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0.547945205,1,0
0,0,1,1,1,1,0,0
0,1,1,1,0,3.063013699,0,0
0,1,0,1,0,1.643835616,1,0
0,1,0,1,0,2.657534247,1,0
0,0,1,1,0,0.821917808,0,0
0,0,1,1,0,1.095890411,0,0
0,0,0,0,0,3.84109589,0,0
0,1,0,1,1,1.02739726,0,0
0,1,1,1,0,3.128767123,0,0
0,1,0,0,1,3.068493151,0,0
0,1,0,1,0,1.660273973,0,0
0,0,0,1,1,0.438356164,1,0
0,1,0,1,0,2.180821918,0,0
0,1,1,1,0,2.520547945,0,0
0,1,1,1,1,1.917808219,0,0
0,0,1,1,0,3.287671233,0,0
0,1,1,1,0,1.493150685,0,0
0,1,0,1,0,0.643835616,0,1
0,1,1,1,1,3.561643836,0,0
0,1,0,1,1,1.369863014,0,0
0,1,1,1,0,1,0,0
0,0,0,1,1,0.498630137,0,0
0,0,0,1,1,0.493150685,0,0
0,0,1,1,0,1,0,0
0,0,1,0,1,3.287671233,0,0
0,1,1,1,0,2.465753425,0,0
0,0,1,1,1,1,0,0
0,0,0,1,1,1.068493151,1,1
0,0,1,1,1,0.684931507,0,0
0,0,0,1,1,0,0,0
0,1,0,1,1,0.684931507,0,0
0,1,1,1,1,0.328767123,1,1
0,1,1,1,0,1.84109589,0,0
0,1,1,1,0,1.553424658,0,0
0,0,1,1,0,1.095890411,1,0
